127.0.0.1 - - [20/Jun/2017:21:33:46 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Jun/2017:21:33:49 +0530] "GET /collaboration_frontend/ HTTP/1.1" 200 6892
0:0:0:0:0:0:0:1 - - [20/Jun/2017:21:33:52 +0530] "GET /collaboration_frontend/resources/image/chat9.png HTTP/1.1" 200 38114
0:0:0:0:0:0:0:1 - - [20/Jun/2017:21:33:52 +0530] "GET /collaboration_frontend/app.js HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [20/Jun/2017:23:23:57 +0530] "GET /collaboration_frontend/ HTTP/1.1" 200 6726
0:0:0:0:0:0:0:1 - - [20/Jun/2017:23:24:00 +0530] "GET /collaboration_frontend/resources/image/chat9.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2017:23:24:00 +0530] "GET /collaboration_frontend/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2017:23:24:00 +0530] "GET /collaboration_frontend/s_User/UserController.js HTTP/1.1" 200 4366
0:0:0:0:0:0:0:1 - - [20/Jun/2017:23:24:00 +0530] "GET /collaboration_frontend/s_User/UserService.js HTTP/1.1" 200 3972
0:0:0:0:0:0:0:1 - - [20/Jun/2017:23:24:00 +0530] "GET /collaboration_frontend/s_Home/HomeController.js HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [20/Jun/2017:23:24:00 +0530] "GET /collaboration_frontend/s_Friend/FriendController.js HTTP/1.1" 200 4463
0:0:0:0:0:0:0:1 - - [20/Jun/2017:23:24:00 +0530] "GET /collaboration_frontend/s_Friend/FriendService.js HTTP/1.1" 200 3452
0:0:0:0:0:0:0:1 - - [20/Jun/2017:23:24:00 +0530] "GET /collaboration_frontend/s_Blog/BlogService.js HTTP/1.1" 200 1596
0:0:0:0:0:0:0:1 - - [20/Jun/2017:23:24:00 +0530] "GET /collaboration_frontend/s_Blog/BlogController.js HTTP/1.1" 200 1791
0:0:0:0:0:0:0:1 - - [20/Jun/2017:23:24:01 +0530] "GET /collaboration_frontend/s_User/login.html HTTP/1.1" 200 3741
0:0:0:0:0:0:0:1 - - [20/Jun/2017:23:24:06 +0530] "GET /collaboration_frontend/s_User/register.html HTTP/1.1" 200 5472
0:0:0:0:0:0:0:1 - - [20/Jun/2017:23:26:31 +0530] "GET /collaboration_frontend/s_User/register.html HTTP/1.1" 200 5481
0:0:0:0:0:0:0:1 - - [20/Jun/2017:23:26:54 +0530] "GET /collaboration_frontend/s_User/register.html HTTP/1.1" 200 5472
